id,nome,categoria,preco
1,Laptop Gamer,Eletrônicos,7500.0
2,Mouse Sem Fio,Acessórios,150.0
3,Teclado Mecânico,Acessórios,450.0
4,Monitor 4K,Monitores,2200.0
5,Cadeira Gamer,Móveis,1200.0
6,Headset 7.1,Acessórios,600.0
7,Smartphone,Eletrônicos,3500.0
8,Smartwatch,Eletrônicos,900.0
9,Webcam Full HD,Acessórios,300.0
10,Microfone Condensador,Acessórios,700.0
11,SSD 1TB,Componentes,800.0
12,Placa de Vídeo,Componentes,4500.0
13,Memória RAM 16GB,Componentes,500.0
14,Gabinete,Componentes,400.0
15,Cooler CPU,Componentes,250.0
16,Fonte 750W,Componentes,650.0
17,Mochila para Laptop,Acessórios,200.0
18,Filtro de Linha,Acessórios,80.0
19,Mousepad Grande,Acessórios,120.0
20,Lâmpada Inteligente,Casa,90.0
21,Aspirador Robô,Casa,1500.0
22,Cafeteira Elétrica,Casa,250.0
23,Liquidificador,Casa,180.0
24,Air Fryer,Casa,400.0
25,Notebook de Escritório,Eletrônicos,3200.0
26,Impressora Multifuncional,Eletrônicos,850.0
27,Roteador Mesh,Redes,700.0
28,Cabo de Rede 10m,Redes,50.0
29,HD Externo 2TB,Acessórios,450.0
30,Tablet,Eletrônicos,1700.0
31,Kindle,Eletrônicos,400.0
